id,movie_id,similar_movie_id
1,2641,294
2,2641,300
3,2641,2915
4,2641,1046
5,2641,1862
6,2641,413
7,2641,650
8,2641,2009
9,2641,673
10,2641,364
11,59,6
12,59,3
13,59,579
14,59,3869
15,59,1040
16,59,2077
17,59,3686
18,59,3624
19,59,2117
20,59,1673
21,4247,1747
22,4247,3085
23,4247,1949
24,4247,3112
25,4247,3084
26,4247,3357
27,4247,3209
28,4247,2316
29,4247,3856
30,4247,2768
31,3402,27
32,3402,55
33,3402,54
34,3402,732
35,3402,70
36,3402,76
37,3402,77
38,3402,779
39,3402,3930
40,3402,4621
41,3419,2641
42,3419,44
43,3419,650
44,3419,4498
45,3419,2494
46,3419,383
47,3419,1002
48,3419,3050
49,3419,3792
50,3419,3636
51,234,233
52,234,232
53,234,3931
54,234,602
55,234,953
56,234,702
57,234,1570
58,234,2797
59,234,964
60,234,3130
61,3157,4284
62,3157,346
63,3157,848
64,3157,1597
65,3157,347
66,3157,2320
67,3157,901
68,3157,350
69,3157,702
70,3157,3932
71,3920,2800
72,3920,554
73,3920,4453
74,3920,1570
75,3920,3641
76,3920,3081
77,3920,4135
78,3920,3737
79,3920,552
80,3920,3934
81,325,4744
82,325,293
83,325,292
84,325,291
85,325,290
86,325,3041
87,325,4126
88,325,4298
89,325,1422
90,325,4488
91,4252,3415
92,4252,600
93,4252,55
94,4252,478
95,4252,27
96,4252,1332
97,4252,70
98,4252,4546
99,4252,732
100,4252,54
101,478,1332
102,478,1101
103,478,3415
104,478,600
105,478,3081
106,478,1894
107,478,4366
108,478,4252
109,478,3734
110,478,3082
111,1747,4247
112,1747,3085
113,1747,1949
114,1747,3357
115,1747,2316
116,1747,3856
117,1747,224
118,1747,3112
119,1747,3084
120,1747,301
121,6,59
122,6,3
123,6,579
124,6,3686
125,6,3958
126,6,1040
127,6,613
128,6,1850
129,6,155
130,6,1822
131,3519,3154
132,3519,2140
133,3519,3297
134,3519,1936
135,3519,4780
136,3519,2189
137,3519,1871
138,3519,3699
139,3519,3207
140,3519,4503
141,3415,478
142,3415,4252
143,3415,1332
144,3415,600
145,3415,1101
146,3415,3421
147,3415,4366
148,3415,4546
149,3415,1894
150,3415,4135
151,711,75
152,711,1572
153,711,712
154,711,290
155,711,4578
156,711,3491
157,711,1569
158,711,1422
159,711,1878
160,711,2047
161,2800,3920
162,2800,4453
163,2800,1570
164,2800,4135
165,2800,3934
166,2800,554
167,2800,3641
168,2800,3081
169,2800,559
170,2800,4366
171,579,6
172,579,3
173,579,59
174,579,3686
175,579,3958
176,579,613
177,579,256
178,579,2013
179,579,4154
180,579,3750
181,3221,4299
182,3221,1900
183,3221,1127
184,3221,1849
185,3221,3701
186,3221,262
187,3221,3420
188,3221,2798
189,3221,2177
190,3221,3890
191,4007,3406
192,4007,3517
193,4007,20
194,4007,22
195,4007,21
196,4007,4415
197,4007,4738
198,4007,4178
199,4007,446
200,4007,1034
201,602,3931
202,602,232
203,602,234
204,602,1882
205,602,233
206,602,387
207,602,4438
208,602,4674
209,602,4252
210,602,381
211,2668,2517
212,2668,1080
213,2668,3278
214,2668,1911
215,2668,483
216,2668,3151
217,2668,1975
218,2668,1133
219,2668,1315
220,2668,2286
221,3517,3406
222,3517,4007
223,3517,20
224,3517,21
225,3517,22
226,3517,903
227,3517,4415
228,3517,367
229,3517,712
230,3517,3822
231,686,4427
232,686,712
233,686,4476
234,686,4442
235,686,290
236,686,4106
237,686,2797
238,686,1556
239,686,3792
240,686,4247
241,155,4479
242,155,220
243,155,4206
244,155,3718
245,155,2488
246,155,2322
247,155,194
248,155,1909
249,155,1714
250,155,2669
251,256,1806
252,256,3591
253,256,3958
254,256,3168
255,256,1239
256,256,1382
257,256,3882
258,256,213
259,256,4323
260,256,4240
261,4453,3641
262,4453,3920
263,4453,559
264,4453,2800
265,4453,3924
266,4453,1570
267,4453,554
268,4453,3934
269,4453,3734
270,4453,3421
271,3312,3419
272,3312,4365
273,3312,4053
274,3312,3050
275,3312,2641
276,3312,4553
277,3312,2597
278,3312,661
279,3312,3698
280,3312,1000
281,4044,64
282,4044,65
283,4044,4541
284,4044,4301
285,4044,66
286,4044,3487
287,4044,1215
288,4044,62
289,4044,2279
290,4044,1241
291,3112,4247
292,3112,3085
293,3112,1747
294,3112,3084
295,3112,3357
296,3112,3856
297,3112,301
298,3112,1949
299,3112,1084
300,3112,2316
301,233,234
302,233,232
303,233,3931
304,233,602
305,233,1570
306,233,55
307,233,732
308,233,54
309,233,3920
310,233,1332
311,3641,1570
312,3641,554
313,3641,4453
314,3641,3920
315,3641,2800
316,3641,559
317,3641,3934
318,3641,552
319,3641,3081
320,3641,3421
321,2047,4338
322,2047,4578
323,2047,1572
324,2047,122
325,2047,124
326,2047,3986
327,2047,712
328,2047,3041
329,2047,290
330,2047,711
331,3083,3082
332,3083,3081
333,3083,4023
334,3083,3734
335,3083,653
336,3083,3421
337,3083,4366
338,3083,4453
339,3083,1570
340,3083,554
341,3582,246
342,3582,3239
343,3582,1237
344,3582,3425
345,3582,3834
346,3582,4720
347,3582,2749
348,3582,3207
349,3582,4165
350,3582,1643
351,1081,578
352,1081,3142
353,1081,4342
354,1081,3889
355,1081,653
356,1081,2848
357,1081,1563
358,1081,3734
359,1081,4453
360,1081,4305
361,3889,3142
362,3889,1081
363,3889,578
364,3889,643
365,3889,1563
366,3889,1002
367,3889,4217
368,3889,689
369,3889,1599
370,3889,4428
371,3646,2146
372,3646,1572
373,3646,292
374,3646,946
375,3646,3560
376,3646,4744
377,3646,291
378,3646,293
379,3646,3237
380,3646,4173
381,3931,602
382,3931,234
383,3931,232
384,3931,4438
385,3931,233
386,3931,387
387,3931,1470
388,3931,4023
389,3931,552
390,3931,3843
391,2663,424
392,2663,1539
393,2663,3777
394,2663,261
395,2663,4107
396,2663,2135
397,2663,1661
398,2663,578
399,2663,1644
400,2663,4342
401,3396,395
402,3396,1901
403,3396,4139
404,3396,2636
405,3396,31
406,3396,637
407,3396,3196
408,3396,1368
409,3396,2534
410,3396,3413
411,3318,2539
412,3318,3415
413,3318,4365
414,3318,3698
415,3318,439
416,3318,3050
417,3318,1000
418,3318,3920
419,3318,1002
420,3318,4546
421,1593,378
422,1593,377
423,1593,1929
424,1593,971
425,1593,2277
426,1593,3683
427,1593,1878
428,1593,4708
429,1593,1730
430,1593,1837
431,86,3859
432,86,2703
433,86,60
434,86,58
435,86,2066
436,86,2661
437,86,4428
438,86,4670
439,86,4221
440,86,1563
441,4139,1397
442,4139,2636
443,4139,1368
444,4139,1901
445,4139,1527
446,4139,245
447,4139,1669
448,4139,3396
449,4139,1672
